Concept,count
http://dbpedia.org/class/yago/WikicatPeopleFromMoscow,1224
"http://dbpedia.org/class/yago/WikicatAlumniOfStJohn'sCollege,Cambridge",1218
http://dbpedia.org/class/yago/WikicatPeopleFromCountyGalway,1217
http://dbpedia.org/class/yago/WikicatPlayStation3Games,1217
http://dbpedia.org/class/yago/WikicatOlympicMedalistsInIceHockey,1214
http://dbpedia.org/class/yago/WikicatPseudonymousWriters,1214
http://dbpedia.org/class/yago/WikicatQuarterlyJournals,1206
http://dbpedia.org/class/yago/WikicatPlatformGames,1205
"http://dbpedia.org/class/yago/WikicatPeopleFromWashington,D.C.",1204
http://dbpedia.org/ontology/Cave,1204
http://dbpedia.org/class/yago/WikicatBaseballPlayersFromNewYork,1202
http://dbpedia.org/class/yago/WikicatPunjabiPeople,1202
http://dbpedia.org/class/yago/WikicatAmericanHorrorFilms,1198
http://dbpedia.org/class/yago/WikicatBirminghamCityF.C.Players,1194
http://dbpedia.org/class/yago/WikicatAsteraceaeGenera,1194
http://dbpedia.org/class/yago/WikicatBirdsOfAfrica,1187
http://www.w3.org/2002/07/owl#Class,1184
http://dbpedia.org/class/yago/WikicatToledoMudHensPlayers,1181
http://dbpedia.org/class/yago/WikicatTownsInRhineland-Palatinate,1181
